Source,Harga lama,Harga baru,Judul,No. ISBN,"Penerbit									",Tanggal terbit,Jumlah Halaman,Berat,Jenis Cover,Dimensi(L x P),Kategori,Bonus,Text Bahasa
https://bukukita.com/Masakan-dan-Makanan/Kue/122736-Aneka-Kue-Serba-Oven-Paling-Favorit.html,Rp 27.500,Rp 26.125,Aneka Kue Serba Oven Paling Favorit (Full Color),9.78603E+12,Dunia Kreasi ,Februari - 2014,-,150 gr,Soft Cover,-,Kue,-,Indonesia ··
https://bukukita.com/Buku-Teks/Bahasa-Sastra/134009-Bahasa-Indonesia-Kreatif-Edisi-Revisi.html,Rp 60.000,Rp 57.000,Bahasa Indonesia Kreatif Edisi Revisi,9.78603E+12,Wedatama Widya Sastra ,Januari - 2015,289,500 gr,Soft Cover,-,Bahasa-Sastra,-,Indonesia ··
https://bukukita.com/Sejarah-dan-Budaya/Sejarah-Indonesia/154223-Jantuk:-Pertumbuhan-dan-Perkembangan.html,Rp 55.000,Rp 52.250,Jantuk: Pertumbuhan dan Perkembangan,9.78602E+12,Wedatama Widya Sastra ,Desember - 2017,-,250 gr,Soft Cover,-,Sejarah Indonesia,-,Indonesia ··
https://bukukita.com/Agama/Islam/127234-99-Panduan-muslim-Sehari-hari-in-Comic.html,Rp 59.500,Rp 56.525,99 Panduan muslim Sehari-hari in Comic,9.78602E+12,Melvana ,Agustus - 2014,148,250 gr,Soft Cover,-,Islam,-,Indonesia ··
https://bukukita.com/Sejarah-dan-Budaya/Kebudayaan/125911-Gambar-Tangan-Gua-Gua-Prasejarah.html,Rp 65.000,Rp 61.750,Gambar Tangan Gua-Gua Prasejarah,9.78979E+12,Wedatama Widya Sastra ,Juni - 2014,-,350 gr,Soft Cover,-,Kebudayaan,-,Indonesia ··
https://bukukita.com/Hukum-dan-Undang-undang/Undang-undang/136301-Pengelolaan-Keuangan-Desa.html,Rp 109.500,Rp 104.025,Pengelolaan Keuangan Desa (APBDesa) Edisi Revisi,9.78603E+12,Fokus Media ,2015,-,500 gr,Soft Cover,-,Undang-undang,-,Indonesia ··
https://bukukita.com/Ekonomi-dan-Manajemen/Bisnis-Investasi/82426-10-Bisnis-Paling-Prospektif-2010-2020.html,Rp 27.500,Rp 26.125,10 Bisnis Paling Prospektif 2010-2020,978,Kataelha ,Juli - 2010,-,300 gr,Soft Cover,-,Bisnis-Investasi,-,Indonesia ··
https://bukukita.com/Sejarah-dan-Budaya/Kebudayaan/161998-KIAS-Tradisi-Lisan-Orang-Lampung.html,Rp 60.000,Rp 57.000,KIAS Tradisi Lisan Orang Lampung,9.78602E+12,Wedatama Widya Sastra ,Apr-19,228,370 gr,Soft Cover,-,Kebudayaan,-,Indonesia ··
https://bukukita.com/Agama/Islam/108929-Abu-Musa-Al-Asyari-:-Berjuang-dengan-Pedang-Hati.html,Rp 27.000,Rp 25.650,Abu Musa Al Asyari : Berjuang dengan Pedang Hati,9.7898E+12,Titian Ilmu ,2007,50,140 gr,Soft Cover,-,Islam,-,Indonesia ··
https://bukukita.com/Agama/Islam/157041-Wawasan-Al-Quran-tentang-Doa-dan-Zikir.html,Rp 120.000,Rp 114.000,Wawasan Al-Quran tentang Doa dan Zikir,9.78603E+12,Lentera Hati ,Mei - 2018,-,350 gr,Soft Cover,-,Islam,-,Indonesia ··
